"AUC","Time_Onset","Frequency","baseline1","Number_of_Peaks"
3834942.72188847,20.11249924,0.00414336042197096,21817.5727929887,15
14219986.609124,0,0.00414336042197096,15368.0273241269,15
2968822.21103592,0,0.00276224028131398,20240.9835548552,10
3826477.20119801,191.0687428,0.00441958445010236,24909.2926188937,16
3645390.16536027,0,0.00331468833757677,19913.2154885225,12
8280835.12958334,160.8999939,0.00414336042197096,21922.8223957315,15
15973221.8011629,30.16874886,0.00303846430944537,20630.3248899498,11
2003990.07248306,160.8999939,0.00248601625318258,24379.0335471617,9
8620691.18450116,0,0.00303846430944537,17987.4232029232,11
6635349.98459382,452.5312328,0.00359091236570817,25147.0342088665,13
8876930.24923527,0,0.00359091236570817,19938.4858223299,13
1542452.90476346,191.0687428,0.00110489611252559,21183.3563504659,4
16180942.0705946,20.11249924,0.00276224028131398,18337.7140833412,10
117204.445212975,0,0.00138112014065699,22192.02979888,5
10581579.9852141,221.2374916,0.00331468833757677,25832.208350401,12
4177741.9693093,0,0.00359091236570817,23660.9940086182,13
550360.48662518,0,0.00138112014065699,26864.6181514477,5
390181.605156541,764.274971,0.000828672084394193,21148.2205190779,3
6526242.63823374,0,0.00414336042197096,18390.8082060273,15
6310147.54778652,271.5187397,0.00303846430944537,24983.3256290318,11
5184624.21906044,0,0.00386713639383957,19252.3985947634,14
15357772.2173482,0,0.00331468833757677,17098.0524305758,12
14906512.9914409,10.05624962,0.00276224028131398,19322.9069818703,10
12928491.176278,30.16874886,0.00359091236570817,12516.4157513249,13
6832038.79152943,0,0.00386713639383957,17688.7325616302,14
6624460.12915671,0,0.00386713639383957,22899.6564332678,14
12038317.9612901,0,0.00386713639383957,17900.778135564,14
2696980.20259835,0,0.00248601625318258,19116.2441752121,9
13064035.6333744,0,0.00414336042197096,13380.2506962739,15
15673599.7953446,30.16874886,0.00414336042197096,19241.4793152049,15
9934309.29519705,0,0.00359091236570817,16124.0563579122,13
10317851.1506686,20.11249924,0.00359091236570817,18931.2360802397,13
3655194.39145744,160.8999939,0.00303846430944537,21415.9140463517,11
6893901.16991125,0,0.00386713639383957,26743.3414828749,14
3348718.72810544,472.6437321,0.00220979222505118,24077.6358224489,8
14623325.1338429,0,0.00331468833757677,22846.1297603929,12
10600497.9462315,20.11249924,0.00386713639383957,16876.308887979,14
1546093.22284541,100.5624962,0.00276224028131398,23717.2023745985,10
8392699.21771014,110.6187458,0.00303846430944537,19863.0170518346,11
64040.3310448974,623.4874763,0.000552448056262795,20288.4131152499,2
5961720.22314402,0,0.00414336042197096,21846.3348396384,15
5303613.10295504,0,0.00497203250636516,17009.2287364108,18
5642917.67409068,30.16874886,0.00276224028131398,18831.0752875058,10
834137.475299135,40.22499847,0.00138112014065699,16137.9935378624,5
19613088.2739009,0,0.00331468833757677,18648.7714732067,12
2218399.16077425,0,0.00359091236570817,21795.7290417826,13
554254.84245427,1136.356207,0.000276224028131398,26730.8967513973,1
13187897.2469588,50.28124809,0.00386713639383957,14624.2529831954,14
7311006.3364325,372.0812359,0.00386713639383957,20522.6031393107,14
511538.320427001,0,0.000828672084394193,22057.2615062224,3
12726708.7269105,0,0.00276224028131398,18644.35346346,10
636373.649284422,70.39374733,0.00193356819691978,23841.6057944999,7
9958733.35112311,0,0.00303846430944537,20465.6064937379,11
3715280.86771713,221.2374916,0.00386713639383957,23061.4979679683,14
2645833.84039976,0,0.00303846430944537,17688.5615066768,11
14039038.1187433,30.16874886,0.00331468833757677,19865.2312750136,12
6745811.38047049,241.3499908,0.00303846430944537,13088.5120299735,11
3631153.71554683,140.7874947,0.00303846430944537,26411.3944317688,11
9707254.67334078,30.16874886,0.00441958445010236,15192.4335342216,16
3650777.9991256,130.731245,0.00303846430944537,19425.4667807391,11
10820474.6166958,311.7437382,0.00276224028131398,21109.6724645944,10
4021787.80057047,0,0.00359091236570817,17502.167063293,13
4602711.42426002,372.0812359,0.00276224028131398,19811.701860163,10
6383899.24538007,0,0.00331468833757677,23839.9295060112,12
955547.323919624,30.16874886,0.00276224028131398,20108.5863777386,10
4096686.3547179,0,0.00331468833757677,21700.162008962,12
8093532.50070912,0,0.00441958445010236,21099.3132071024,16
11422441.0775084,0,0.00414336042197096,19013.1468757802,15
4878701.79201655,0,0.00386713639383957,20700.9563902167,14
1668083.44968711,170.9562435,0.00331468833757677,25640.7928010468,12
7475658.25403754,0,0.00414336042197096,17986.468389226,15
7115932.33381675,0,0.00386713639383957,15120.6495729915,14
12145723.0608522,30.16874886,0.00414336042197096,12142.2817326896,15
1333580.95456515,0,0.00331468833757677,20696.7637807925,12
455468.56535317,40.22499847,0.000828672084394193,15319.7385144211,3
4084049.30421765,0,0.00220979222505118,19849.1329302063,8
5845357.43320993,191.0687428,0.00386713639383957,16457.3077561026,14
9460208.31064707,160.8999939,0.00303846430944537,18637.8557430854,11
442911.040970236,633.543726,0.00193356819691978,20823.141347397,7
363287.08664833,834.6687183,0.000552448056262795,26492.5387580487,2
7654120.53220703,0,0.00331468833757677,17323.8175619112,12
2812500.56273642,170.9562435,0.00386713639383957,22917.2179889279,14
199632.16697564,362.0249863,0.00138112014065699,18809.3163954168,5
6018825.9157065,130.731245,0.00165734416878839,24411.6238108261,6
3975312.65934657,241.3499908,0.00276224028131398,21447.3190196619,10
67414.0521235168,673.7687244,0.000552448056262795,30336.2291993857,2
5856105.31921811,211.181242,0.00331468833757677,12889.0341825581,12
5909150.72385518,0,0.00469580847823376,19031.2844739087,17
19638946.3552729,0,0.00359091236570817,22028.7286089051,13
3681442.93914197,0,0.00303846430944537,20075.3396797732,11
2715577.85461383,170.9562435,0.00414336042197096,20903.9322249757,15
10169360.4753645,0,0.00441958445010236,15136.3612934779,16
4147700.7417956,0,0.00359091236570817,25847.3216629141,13
4690138.18655217,0,0.00331468833757677,17680.0635275039,12
4593228.09187442,160.8999939,0.00414336042197096,27025.8999056011,15
7598319.81289811,0,0.00386713639383957,15931.2996312495,14
10176759.0265098,0,0.00303846430944537,15425.0026144081,11
8171054.53085519,30.16874886,0.00386713639383957,26268.8215163623,14
6672045.41209325,20.11249924,0.00331468833757677,20856.3895747106,12
2777976.4516906,311.7437382,0.00414336042197096,19108.1247316009,15
3429108.34008875,281.5749893,0.00276224028131398,17685.7914371921,10
49873.340877071,NA,0,26628.7680243744,0
7179342.45149291,60.33749771,0.00414336042197096,19840.0993402489,15
1089636.42041466,392.1937351,0.00386713639383957,18274.1749006375,14
8066914.3622115,0,0.00414336042197096,24499.4156888154,15
17154949.7976754,10.05624962,0.00303846430944537,20386.699389174,11
14132727.7093213,20.11249924,0.00386713639383957,23212.6256533057,14
974257.146650851,0,0.00248601625318258,19335.2572413877,9
6550713.41952679,281.5749893,0.00303846430944537,25351.5965727325,11
10548609.8296963,20.11249924,0.00414336042197096,25347.7666610268,15
6428459.08284652,70.39374733,0.00359091236570817,20527.5192643449,13
1290669.7314655,0,0.00193356819691978,11200.2860802503,7
