sec,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10
1045.85,42586.41,43854.43,44424.125,46446.809,47259.797,51888.613,42178.98,50466.5,37639.648,39093.793
1055.906,41856.332,43087.164,41538.48,45332.668,47548.125,49986.629,42457.121,50703.641,32508.75,40123.27
1065.962,41090.25,44132.469,42474.68,47194.207,48976.375,49410.145,42080.488,51067.75,33923.199,39696.109
1076.019,41239.75,42235.387,43561.82,48319.27,48130.203,52588.441,41084.43,51506.098,36441,39819.332
1086.075,41718.375,42700,42687.25,48505.363,48270.328,52250.801,42083.98,50356.348,33552.148,38059.16
1096.131,42025.875,44885.652,41677.09,48467.129,49310.453,52265.672,41739.121,52260.527,37139.449,38970.746
1106.188,42449.883,44495.02,45218.695,49931.617,49693.078,52085.742,42819.652,51290.484,33905.551,37514.332
1116.244,40965.242,42967.512,41550.855,47328.363,50372.188,50794.844,40612.777,51292.957,35940.898,38343.699
1126.3,41371.992,43407.406,42576.32,47785.477,50361.375,51403.387,42122.754,51228.25,35208.051,38371.176
1136.356,41045.691,42974.43,42915.055,48899.586,52576.469,49558.016,42622.551,50809.016,35966.602,38004.332
1146.412,41258.426,44055,43358.555,46775.285,50391.047,49907.844,42833.734,51807.902,35966.602,38874.922
1156.469,41584.676,43277.223,42681.02,47142.145,50277.891,50511.473,41105.672,52279.832,35690.898,36559.016
1166.525,40843.066,42383.145,43290.84,46920.383,51129.422,51299.828,42235.348,52627.109,35449.25,38623.031
1176.581,42783.285,45385.449,44581.195,46271.617,48469.797,51176.699,41531.43,53367.266,36880.852,38196.016
1186.637,41236.891,43963.57,44186.98,45765.223,49639.297,49816.688,41390.633,53360.027,35940.898,38198.73
1196.694,42222.773,46504.715,46980.355,44371.777,49666.234,52578.543,41278.082,54303.777,34595.602,39718.031
1206.75,42541.867,44822.348,48335.445,45918.539,53444.219,52605.672,42231.855,53551.555,37251.551,37689.57
1216.806,43731.84,46958.734,49982.98,46019.793,52139.906,52585.957,42143.855,53994.82,37044.602,39750.871
1226.862,42271.66,45716.328,52326.66,47087.461,50738.75,52278.027,42091.102,51525.168,35880.449,38352.031
1236.919,42510.227,44621.672,52067.98,46088.238,50636.266,53766.059,41981.898,53958.848,35199.199,40405.129
1246.975,44072.465,47296.652,53090.465,47875.762,52487.547,54315.5,41095.02,54418.82,37932.75,40287.383
1257.031,41988.457,44540.715,50404.93,45874.684,49676.984,54559.344,41908.062,54126.527,38389.801,40930.777
1267.087,41849.16,45441.816,50691.305,45327.238,49833.234,54041.984,41151.367,54059.5,35345.75,40914.301
1277.144,42447.008,46606.816,47657.875,44486.746,50738.719,52509.586,42580.367,55755.332,35432.051,41902.555
1287.2,42020.141,45248.203,45431.145,45250.539,51487.891,50235.484,42826.754,52991.141,35733.898,37684.016
1297.256,40731.023,43727.695,44803,46110.094,50105.438,49048,41703.918,52801.93,34863,39690.715
1307.312,42391.008,45477.039,45803.875,44582.652,49709.219,48907.559,43921.328,53566.016,35725.199,38206.969
1317.369,41041.434,44276.797,46644.59,46539.984,50005.672,49402.699,42091.039,53379.25,38122.449,37782.637
1327.425,40972.418,44016.305,43771.195,46378.348,51738.422,48863.242,41834.102,52914.57,35518.199,38606.555
1337.481,44476.273,46325.184,45197.125,45795.332,51080.906,49102.23,39743.406,51489.277,36751.449,39140.461
1347.537,42025.926,43498.98,43515.66,43988.523,48631.359,46034.844,41070.387,52114.43,35759.699,39603.094
1357.594,45045.434,46473,44790.625,45269.715,50655.156,47914.656,41661.613,50514.391,36958.352,38976.238
1367.65,43744.824,44822.348,45154.02,43246.684,48644.906,46079.199,40641.02,53295.402,35897.699,40468.16
1377.706,43375.41,44424.613,45329.68,43709.363,49555.688,45877.07,39923,49208.973,35828.75,40933.477
1387.762,44247.766,44322.488,42163.73,43972.176,48539.781,46835.586,41841.121,50753.918,34388.75,39187
1397.819,44410.176,44727.266,43762,42444.668,47254.438,45576.559,41225.184,49963.543,36173.699,39759.047
1407.875,44753.684,45547.43,42477.84,42808.652,47814.938,45729.344,39718.836,49709.598,37682.648,40651.492
1417.931,45072.758,45987.285,45446.59,44464.922,45920.5,46781.312,41626.512,49798.234,38415.75,39123.984
1427.987,43891.398,45892.305,45255.695,43260.383,47666.688,44219.027,40070.754,49141.902,36354.699,41710.938
1438.044,45427.766,46423.777,44571.965,42901.777,48639.453,45963.43,41879.836,50866.555,37096.301,41905.285
1448.1,44233.391,44470.328,41741.73,42384.383,47443.062,45000.059,40517.754,51192.332,39200.352,40065.73
1458.156,44617.16,44713.223,43429.445,44374.57,47397.312,44798.027,40648.039,49721.555,37803.449,38623.047
1468.212,43441.508,43087.121,41997.375,43974.938,45093.188,43652.387,42045.266,49987.402,33552.199,38417.746
1478.269,43747.66,43111.754,43758.875,45458.586,47941.562,42733.5,40155.246,49367.07,37976,40093.094
1488.325,45193.484,45572.039,43989.895,45058.906,47224.766,44411.199,41168.879,50282,36018.449,40517.363
1498.381,42804.883,44139.57,43374.02,42737.539,46225.062,41742.984,39588.57,48483.25,35449.301,40533.824
1508.438,44772.359,44266.184,44855.355,45527.062,48690.688,45293.285,40985.961,49937.168,35440.699,39523.637
1518.494,45285.465,44924.449,49219.23,44393.637,47114.281,43706.543,39806.797,50061.668,39605.699,39337.523
1528.55,44782.418,45441.777,41981.965,44278.715,47284.125,43083.23,41084.469,47752.668,34285.199,38048.094
1538.606,44788.176,44938.449,42305.305,43369.891,45583.625,42691.527,40183.43,49422.168,36880.801,38516.254
1548.662,43727.551,44104.348,42530.18,43405.461,48105.906,43765.688,39395,50325.141,35889.102,37801.84
1558.719,43240.375,42495.918,43315.465,42964.699,47761.031,41582.812,41284.961,48363.473,36811.699,39753.668
1568.775,43901.484,44065.652,41255.105,43320.668,46249.344,41469.543,40334.734,46808.875,35061.301,38809.191
1578.831,43951.648,44632.184,40663.91,42444.57,47332.531,41358.688,39050.082,48947.918,35268.301,39548.223
1588.887,44635.832,44811.816,42077.41,42981.16,46257.375,41989.301,40644.449,46986.109,36777.25,38740.746
1598.944,43391.25,45392.512,40839.395,43873.508,46311.297,42036.113,40405.102,48396.973,37389.5,38253.508
1609,43928.758,44716.695,40836.305,43224.809,45403.188,41289.656,40711.305,50234.18,38053.551,39192.492
1619.056,43820.91,43608,46336.605,42920.984,46443.25,40060.215,40243.203,49496.391,37510.199,37355.586
1629.112,45255.258,45195.328,41495.34,42589.652,46631.859,41297.027,40915.488,48425.707,35733.852,38576.492
1639.169,43958.934,43270.184,40164.945,42931.871,45734.625,40188.344,39835.082,49302.391,36104.602,37623.824
1649.225,44720.66,43382.836,43090.73,42277.652,45500.125,41247.742,41105.57,48238.793,35768.398,38327.383
1659.281,45058.398,44748.469,40716.125,44267.793,46467.453,41767.613,40538.918,48741.82,36027.148,37141.984
1669.337,45493.867,45255.266,42413.105,43471.16,46704.688,40745.113,40296.039,48533.527,33595.398,37949.668
1679.394,45547.008,44945.449,41806.41,41223.617,43789.031,40836.312,42038.328,48512,35535.602,39041.906
1689.45,46571.766,46437.855,41156.605,42055.906,45085.062,41203.43,41351.898,49786.234,37803.551,41262
1699.506,43951.715,42956.879,41399.93,42567.762,47100.812,39067.355,39264.734,49060.473,37027.398,38415.016
1709.562,44989.359,45441.777,41636.98,43712.062,46273.516,41570.5,41323.797,48602.918,36613.398,38477.969
1719.619,45466.516,45786.715,41054.93,45568.078,47224.75,39629.07,41936.184,48550.266,35802.852,37678.652
1729.675,44687.574,44600.613,40035.645,43224.809,45279.219,40415,40968.305,48703.516,36242.648,38518.984
1739.731,45295.5,45304.531,41184.34,43372.652,45537.859,40912.715,40510.777,48195.805,36992.852,37905.793
1749.787,44415.977,45212.961,43173.785,43013.984,46995.641,39183.07,40940.082,50744.359,39278.051,38748.969
1759.844,45319.977,45156.715,40981.16,44043.316,45430.047,39040.215,41087.938,48744.305,39640.148,39690.652
1769.9,44266.426,43129.328,40488.32,43512.207,46726.219,39971.543,40521.348,48780.18,38501.949,38469.793
1779.956,46647.918,46268.898,39702.98,44223.969,45508.25,40698.371,39803.285,48229.32,35768.352,38773.555
1790.012,46032.832,45719.816,40836.305,43890.031,44543.469,40400.258,41707.406,49271.25,36837.699,37914
1800.069,46001.227,46807.449,40614.605,43287.699,46763.953,40939.785,42171.98,47937.109,36328.852,39099.398
1810.125,44872.984,45223.531,39515.07,43312.363,44672.859,40730.328,41510.328,49031.75,36268.5,38420.445
1820.181,45591.566,45279.855,41948.09,42097.047,46028.266,41129.43,41453.98,49343.152,34897.5,37686.824
1830.237,45021.023,44414.039,41590.855,42288.555,45160.641,39683.27,40584.633,50399.43,36285.801,38702.383
1840.294,44242.059,44551.285,42105.105,44692.094,45626.859,41356.145,41024.672,48957.484,36794.398,39121.254
1850.35,43578.102,44093.734,41341.465,42751.207,46448.672,38840.688,40577.613,47520.266,36923.898,39447.078
1860.406,44214.758,44104.348,41110.41,44084.332,47122.359,39626.602,41981.918,48629.277,36449.602,39389.57
1870.462,43269.109,43618.672,41821.805,43553.301,46645.391,40203.07,40595.246,49300.027,37053.199,38272.637
1880.519,44296.633,44431.652,41190.48,43884.492,45780.312,40195.77,42590.855,48128.695,34535.301,40010.969
1890.575,44022.184,43435.594,41633.945,42387.047,45906.984,38626.301,42495.836,47882,38122.5,38464.332
1900.631,42510.258,41953.797,42647.215,44610.031,45055.438,38766.758,41637.062,47024.457,37251.602,38245.301
1910.687,42722.941,42960.406,42995.215,43375.332,45284.516,39227.5,41869.367,48193.305,37122.148,37875.699
1920.744,43327.977,44357.695,41874.16,44218.445,45750.719,40661.43,41390.715,47884.418,36889.352,39233.523
1930.8,42572.008,41890.43,42816.555,44585.332,45942.125,40121.785,41267.488,48188.598,37380.898,39052.777
1940.856,41544.477,42298.777,41045.75,44270.586,47192.422,39897.688,41897.512,47199.277,35311.352,37782.668
1950.912,41334.582,41809.43,42619.465,43400,46661.562,40528.285,42545.164,47757.473,36044.301,38770.906
1960.969,41992.883,41806,41101.105,44054.285,45812.734,39853.27,41144.266,47649.609,36484.051,37856.539
1971.025,41929.617,41432.898,40392.84,46860.176,46235.797,39631.543,43337.062,47570.5,36389.148,36961.398
1981.081,42196.949,43178.652,40051.055,48029.031,45718.406,39224.984,43227.938,47606.516,36182.25,37161.207
