Time,cell7_1,cell7_2,cell7_5,cell7_7,cell7_8
320,1.846222268,1.482995249,0.641443659,1.986822997,1.504185263
325,1.955974348,1.584395345,0.543299049,2.392720032,1.632457783
330,1.908452597,1.727270442,0.581723866,2.471084809,1.569012321
335,1.897229997,1.772038308,0.536347384,2.625290606,1.603919198
340,1.944819218,1.939999497,0.630942831,2.54940681,1.591528012
345,1.945291512,2.150969007,0.678372548,2.572698088,1.530241294
350,2.071259012,2.180001508,0.723250388,2.307767823,1.576546335
355,2.146263763,2.182665963,0.838495507,2.387586968,1.631011425
360,2.159465498,2.186411281,0.893258205,2.446959408,1.685994614
365,2.154787541,2.043586457,0.90006321,2.352382704,1.77655389
370,2.036286781,1.987431818,0.908334812,2.398836933,1.882591355
375,1.966387301,1.815096901,0.886335871,2.287599159,1.991197725
380,1.870691584,1.752557625,0.794438961,2.328428406,1.96114802
385,1.839475214,1.678480758,0.816027255,2.2537851,1.976712558
390,1.779921217,1.535555388,0.844919198,2.235413008,1.841165074
395,1.779696315,1.508257296,0.896924695,2.262276043,1.798508308
400,1.732309505,1.400472564,0.847823058,2.196850865,1.641826728
405,1.682898579,1.424201292,0.8275547,2.304752148,1.639538461
410,1.78277747,1.353995425,1.008884639,2.27647752,1.703480434
415,1.672598077,1.163964507,0.990170873,2.292903325,1.570545029
420,1.58558357,1.121810824,0.992781414,2.052077073,1.589153395
425,1.544808873,1.133901415,1.048717388,1.796578813,1.529140334
430,1.504326548,1.065027776,1.149267215,1.631336928,1.530953679
435,1.597076052,1.097177186,1.337167504,1.530793037,1.572358373
440,1.54316709,1.043712138,1.286247289,1.310734306,1.486289282
445,1.620375878,1.031470729,1.305254374,1.302606955,1.578446029
450,1.599954795,1.156297916,1.284810024,1.216927562,1.458160859
455,1.606746829,1.219566146,1.328015945,1.082847653,1.457340536
460,1.759792506,1.364175653,1.349574907,1.087082431,1.492009952
465,1.659756184,1.25618983,1.229167369,1.051471799,1.471393954
470,1.691174966,1.334690697,1.282052824,1.002771855,1.549000772
475,1.747040573,1.328657969,1.139294362,1.013529901,1.623628523
480,1.660273458,1.338511424,0.993016069,0.952895583,1.65626872
485,1.764965247,1.378402835,1.001844978,1.154453895,1.747151808
490,1.721109396,1.492496795,1.003839549,1.097134681,1.689297491
495,1.748389984,1.398361109,0.92707791,1.141728174,1.703329322
500,1.684000598,1.457934294,0.973686333,1.201250329,1.627708548
505,1.687441596,1.408465928,0.977059504,1.271509142,1.734998084
510,1.616642508,1.3916497,0.977587479,1.208372455,1.605300794
515,1.65305411,1.435663474,1.084795652,1.193764611,1.550641417
520,1.485929581,1.456652339,1.013695074,1.014171534,1.344546205
525,1.483230759,1.527662569,0.901500474,0.952596154,1.26322635
530,1.435956401,1.540507252,0.869646008,1.001338874,1.239544937
535,1.392010588,1.561596662,0.86143307,1.035709015,1.226031205
540,1.230711016,1.45325893,0.854657396,1.13238172,1.236932858
545,1.231723074,1.424226428,0.848263037,1.221461768,1.110991781
550,1.24490232,1.519945705,0.87319517,1.548587659,1.257656792
555,1.156875754,1.415051655,0.875307069,1.65937629,1.267306374
560,1.139625786,1.393333836,0.968054604,1.84947076,1.346812886
565,1.18136756,1.472990976,1.104858686,2.007825784,1.304890093
570,1.053016102,1.365331926,1.057516965,1.948923875,1.151381865
575,1.000951335,1.287886786,1.104682695,1.94513824,1.181776969
580,0.91058579,1.165296735,1.075174782,2.113609678,1.104925712
585,0.915781022,1.162757962,1.030619593,2.095451464,1.079819529
590,0.888545414,1.02744891,0.910769362,1.981668545,1.057843524
595,0.846376326,1.019204183,0.86372096,1.962612045,1.056483515
600,0.844554621,0.889349722,0.742022817,1.979059238,1.001176515
605,0.851414126,0.98858809,0.885309254,1.979636707,0.993923138
610,0.891086804,1.044013775,0.907425523,1.924370718,0.973026504
615,0.872374974,1.059799412,0.910828025,1.839119081,1.009185452
620,0.991887792,1.089937913,0.891380962,1.641603056,1.099140281
625,0.915398689,0.989317045,0.713072211,1.401332886,1.080596677
630,0.975514941,1.055953548,0.682332357,1.420902692,1.183482377
635,1.044379873,1.125053415,0.72146114,1.42954335,1.349576077
640,1.109106611,0.991503909,0.717325339,1.390211247,1.319720659
645,1.134273123,0.989166227,0.689049367,1.290565642,1.412222804
650,1.219465926,1.051579821,0.727972827,1.498647224,1.680468231
655,1.283765351,1.057662821,0.764109754,1.59042213,1.826982131
660,1.337381941,1.131412915,0.645902111,1.4967651,1.869487784
665,1.348604541,1.035567956,0.595304546,1.408647502,1.961040082
670,1.37230919,1.038534047,0.657077573,1.334474727,1.911907088
675,1.41713212,0.978432999,0.606157357,1.203709922,1.829227224
680,1.386253102,0.955458362,0.62971089,1.195283142,1.730507898
685,1.331309592,0.924666315,0.527459812,1.133964415,1.63189651
690,1.414860611,0.88929945,0.563450079,0.978004821,1.544683285
695,1.463889204,0.90395395,0.627041685,0.94200921,1.444906176
700,1.345883229,0.83065631,0.572894958,0.871258478,1.326628637
705,1.38967161,0.784355127,0.563684735,0.834428743,1.255476462
710,1.331422043,0.830631174,0.560340896,0.86366582,1.228319472
715,1.319749639,0.81600181,0.567908531,0.695386873,1.048733627
720,1.224683648,0.83045522,0.576708108,0.871729008,1.122389945
725,1.236513482,0.885051404,0.641795642,0.81291265,1.041242788
730,1.123747719,0.903375814,0.495429353,0.72165105,0.924713832
735,1.021889692,0.835256265,0.480147422,0.682554213,0.810732192
740,1.022249535,0.965512908,0.449876879,0.682810866,0.741155899
745,0.961256167,0.94309127,0.491322884,0.658514363,0.740508276
750,0.77823108,0.840560038,0.463222904,0.744001266,0.63801115
755,0.785990192,0.957016816,0.434418957,0.735403384,0.571500273
760,0.708668952,0.911846769,0.392708964,0.755914252,0.491087089
765,0.637532512,0.882135586,0.431691088,0.75028927,0.443767439
770,0.628199088,0.950607043,0.559812921,0.782092879,0.479084477
775,0.621497014,1.030590956,0.634609321,0.805598034,0.487050239
780,0.597679913,0.983485408,0.747009244,0.768169442,0.441910919
785,0.62102472,0.883216449,0.938488027,0.908259314,0.501513819
790,0.669760941,0.914737451,1.086232916,1.15719153,0.558331939
795,0.623206268,0.885101677,1.15880009,1.268792896,0.561030368
800,0.68096105,0.841867129,1.226674156,1.318326963,0.616963404
805,0.707926776,0.88341754,1.330362499,1.278588493,0.60556524
810,0.799034497,0.901339768,1.4120519,1.630181989,0.649258202
815,0.790105895,0.899002086,1.560090108,1.778826967,0.676177729
820,0.776409375,0.853882312,1.535480626,1.852229782,0.63490256
825,0.7832239,0.903652314,1.48365112,1.885530534,0.638809885
830,0.7944465,0.96141568,1.352801418,1.783083132,0.64431468
835,0.725716509,0.872709449,1.259643236,1.827591074,0.738392708
840,0.717799966,0.736218988,1.262165781,1.690538266,0.822000831
845,0.697603784,0.665887439,1.107791878,1.715241136,0.750848656
850,0.775194906,0.685041349,1.177455192,1.879370857,0.760217601
855,0.779647961,0.662318076,1.092011305,1.914596509,0.709746186
860,0.814890074,0.579418345,0.944354412,1.82217997,0.684834289
865,0.793299501,0.607420255,0.862107704,1.63332599,0.760908399
870,0.795098715,0.467737476,0.674882049,1.470736188,0.758080446
875,0.758934505,0.423170701,0.572718966,1.138049478,0.760152839
880,0.738580892,0.398185154,0.412918658,0.991372175,0.707760142
885,0.802632925,0.400522836,0.405673674,0.927679406,0.762354757
