sec,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7,D4_8,D4_9,D4_10
925.175,21187.738,25818.051,22450.434,26100,18157.371,51874.176,24754.309,28504.414,31577.072,36734.125
935.231,21427.426,25290.65,20940.232,26466.209,18294.223,50257.891,24704.096,28417.92,32320.178,36488.078
945.287,21250.637,25036.6,22252.199,25924.646,18062.842,48438.871,24429.523,28454.01,31706.166,36708.375
955.344,21250.588,24989.676,21800.6,26340.312,18032.75,49059.254,23549.072,28443.799,32005.846,36418.062
965.4,21522.375,24804.35,21937.867,26470.916,18082.723,50592.762,25197.762,28654.637,31819.465,36067.625
975.456,21308.949,25156.725,21555.066,26481.5,18014.064,49444.223,24523.262,28881.666,32696.154,36609.625
985.512,21357.062,25085.162,22041.6,26419.416,18073.842,49910.652,23998.023,28071.678,32458.012,35965.328
995.569,21804.363,24409.562,21285,26508.166,17455.584,49786.445,24660.523,28767.898,32501.107,36528.844
1005.625,21434.838,25077.188,21245.301,25761.584,17601.379,49301.145,24379.309,28195.566,32482.072,36783.438
1015.681,21613.324,25197.312,21046.967,25554.771,17973.834,50497.602,23960.881,27960.334,32364.393,35748.734
1025.737,22037.824,24424.475,21216.334,26543.375,17872.166,49787.176,24515.596,28120.232,31851.131,36395.094
1035.794,21909.051,24439.363,21056.1,26345.104,17936.547,49871.445,25256.596,28085.576,32435.107,36418.719
1045.85,22623.588,24258.012,21283.4,26833.25,17793.342,49544.57,24786.904,28060.201,32119.131,36185.578
1055.906,22290.113,23638.449,20267.434,26163.041,18035.74,48897.969,24443.809,27870.656,32064.631,36246.375
1065.962,21421.074,23784.375,20131.666,26317.438,17919.629,48808.652,24342.357,28161.414,31773.166,35892.453
1076.019,21697.988,23512.588,20195.699,27338.562,18292.5,49582.207,24599.5,28102.213,31863.643,35965.375
1086.075,21584.088,23644.725,21387.1,27228.021,18400.547,48746.871,24404.477,28262.111,32073.428,35348.266
1096.131,21671.113,23477.688,21274.199,26974.396,17945.01,49301.871,24772.809,27638.566,32499.988,36313.578
1106.188,21398.812,23353.625,21541.232,26552.875,17916.592,48931.398,24619.119,28386.969,32069.047,35961.109
1116.244,21522.312,23110.525,21057.633,26368.979,17785.277,49002.602,24670.357,28073.555,32407.346,36141.281
1126.3,21685.412,23471.426,21016.533,26575.875,18193.352,48271.129,25346.928,28013.92,31970.381,36127.734
1136.356,21743.162,23267.088,21088.166,26246.938,17863.695,48639.398,24181.072,27434.223,32038.012,36485.906
1146.412,21660.887,23642.412,20718.9,25776.812,18126.389,47846.094,24758.643,27442.092,32492.893,36419.422
1156.469,21667.738,23310.088,20949.367,26798,18084.842,47881.699,24455.666,27886.373,32740.797,36396.609
1166.525,22102.525,23851.801,21626.699,26031.396,18170.074,47726.238,24942.785,28449.395,32823.633,36955.719
1176.581,22075.051,23823.262,20632,26225.959,17995.861,47639.145,25342.547,27665.777,33262.191,35924.562
1186.637,21774.062,23647.574,21960.834,26194.5,18185.732,48045.254,24446.857,27771.666,33119.43,35948.062
1196.694,21934.824,23077.262,21814.4,26123.834,18132.352,48027,24708.334,27761.07,33084.582,35817.312
1206.75,21875.875,23375.863,21538.166,27014.375,18294.621,48786.129,24905.596,27599.768,33301.441,36637.531
1216.806,21613.35,22643,21307.9,27339.584,18444.24,48402.508,24308.5,28239.99,33643.082,35809.453
1226.862,21248.938,22242.088,21899.699,26971.5,18187,47173.383,24799.904,28319.959,33821.727,35976.719
1236.919,21513.801,21825.637,21882.967,27012.521,18020.055,46861.062,24939.381,28015.334,33516.133,36997.938
1246.975,21385.1,22106.475,22180.434,27435.834,18126.371,48155.555,24092.785,28605.152,33435.406,35938.125
1257.031,21778.713,22154.488,21722.867,27375.729,18321.24,47891.145,24492.715,28020.363,33774.297,35743.672
1267.087,21748.301,22527.525,21687.699,27228.896,18010.287,48594.363,24712.762,28139.646,34711.441,36259.969
1277.144,22184.25,22188.25,21309.4,27094.521,17934.814,47801.793,25133.334,28483.576,34622.617,36249.234
1287.2,21726.062,23057.262,21988.301,27546.438,18264.963,47257.652,24517.715,27996.312,33830.441,35947.453
1297.256,21878.225,21977.176,21451.268,27364.312,18192.111,47556.27,24930.762,28187.322,34602.453,37096
1307.312,21600.775,21710.051,21132.367,27392.959,18160.268,47207.523,25017.928,27964.969,33868.633,36521
1317.369,21868.5,22036.162,21403.867,26779.875,18064.953,47020.84,24987.381,27807.334,34408.023,35740.078
1327.425,22145.988,21949.688,20668.699,26533.812,18030.629,46800.078,25089.857,27518.869,34998.582,36191.312
1337.481,21390.801,22299.801,21658.633,27024.896,18134.879,46948.207,24117.857,28130.414,34623.145,35945.984
1347.537,22118.488,21919.988,21353.666,26947.666,18339.973,47134.922,24558.119,27761.031,34326.773,36455.094
1357.594,22297.537,22229.488,22104.232,26997.291,18211.953,46751.398,24799.977,27540.545,34380.703,35507.672
1367.65,21917.125,22064.088,22133.033,26541.521,18105.232,46153.477,24152.809,27554.828,34293.035,35717.281
1377.706,22168.275,22188.824,22381.834,26872.396,17950.99,46348.906,24517.762,27395.768,34399.809,35871.656
1387.762,22420.5,22215.787,21420.768,26664.562,18120.879,45583.223,24142.977,27654.717,33424.047,35440.453
1397.819,22298.113,23057.838,22101.033,26409,18032.324,45734.414,23860.715,27572.445,33787.953,35496.969
1407.875,22048.074,23034.324,21843.301,26099.084,18656.518,44492.824,24153.834,27303.373,33232.25,35232.406
1417.931,22237.5,23893.6,22218.566,26198.354,18092.936,45406,24136.357,27558.102,33922.523,35675.766
1427.987,21756.363,22692.301,22415.4,26673.062,18201.416,44813.223,23983.785,27200.312,33787.406,36225.656
1438.044,22151.051,23530.9,22390.934,26395.646,18183.592,45012.285,24555.904,27595.102,33615.227,35469.016
1448.1,22230.613,24062.312,22660.9,27005.875,18140.797,44421.762,24735.619,27843.344,34104,36135.484
1458.156,21842.787,23393.588,22279.566,25976.084,18046.703,44360.617,24072.072,27427.748,33706.215,35752.297
1468.212,22159.65,24093.238,22940.199,26593.062,18508.666,43725.809,24875.166,28293.162,34266.273,35946.156
1478.269,22400.512,23919.4,21943.9,26560.562,18078.982,43520.953,24839.191,28206.201,34100.773,36459.5
1488.325,21774.113,23887.85,22545.133,25963.729,18072.99,44512.461,24562.381,27722.182,33866.965,36222.781
1498.381,22111.625,24319.275,22688.5,26374.562,18341.277,44719.477,24767.309,28465.141,33733.453,35780.828
1508.438,22196.812,23527.449,22563.334,26970.584,18463.713,45160.492,24609.238,28619,34153.035,35497.672
1518.494,22574.375,24199.113,22275,26817.959,18250.121,46456.43,24245.357,28933.859,34848.738,36186.266
1528.55,21996.637,23381.6,21869.199,26599.688,18080.639,44795.809,24440.381,28096.242,35274.332,35833.75
1538.606,22569.875,23967.387,21716.732,26646.459,18068.76,45130.715,24887.143,28273.213,34993.715,35724.328
